,title,description,originallink,link,pubDate
0,현실 '우영우' 변호사가 될 수 있을까,&apos;이상한 변호사 <b>우영우</b>&apos;라는 드라마가 국내뿐만 아니라 해외에서도 높은 시청률로 관심을 끌고 있다. 극중 <b>우영우</b>는 천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사로 대형 로펌에서 일하고 있다. 그렇다면... ,http://www.fnnews.com/news/202208181020559320,https://n.news.naver.com/mnews/article/014/0004884937?sid=106,"Thu, 18 Aug 2022 10:25:00 +0900"
1,"'우영우 아빠' 전배수 ""좋은 작품에 함께할 수 있어 너무 행복했다"" 종영 소감","조명현 기자 | &apos;이상한 변호사 <b>우영우</b>&apos;가 방송되는 동안 &apos;<b>우영우</b> 아빠&apos;로 불렸던 배우 전배수가 작품의 종영 소감을 전했다. 오늘(18일) ENA 채널 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;(연출 유인식, 극본 문지원)가 종영한다. &apos;이상한... ",http://digitalchosun.dizzo.com/site/data/html_dir/2022/08/18/2022081880061.html,http://digitalchosun.dizzo.com/site/data/html_dir/2022/08/18/2022081880061.html,"Thu, 18 Aug 2022 10:24:00 +0900"
2,"‘우영우’ 권민우·최수연 급 러브라인, 수요 없는 공급[TV와치]","8월 17일 방송된 ENA 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos;(극본 문지원/연출 유인식)에서는 제주도 출장을... 이런 와중에 <b>우영우</b>(박은빈 분)는 과징금 부과 처분 취소 소송에서 주장할만한 새로운 논점을 찾아냈지만, 멘토... ",https://www.newsen.com/news_view.php?uid=202208180752262310,https://n.news.naver.com/mnews/article/609/0000616513?sid=106,"Thu, 18 Aug 2022 10:23:00 +0900"
3,"함태인, '우영우' 마지막회 등장…강렬 존재감 발산",배우 함태인이 &apos;이상한 변호사 <b>우영우</b>&apos; 마지막 회에 등장한다. 소속사 제이플로엔터테인먼트에 따르면 함태인은 18일 밤 9시 방송되는 ENA &apos;이상한 변호사 <b>우영우</b>&apos; 16회에 출연한다. 배우 함태인이 &apos;이상한 변호사 <b>우영우</b>... ,http://www.joynews24.com/view/1511312,http://www.joynews24.com/view/1511312,"Thu, 18 Aug 2022 10:22:00 +0900"
4,권모술수 쏙 뺀 주종혁 [화보],"&apos;이상한 변호사 <b>우영우</b>&apos;에서 &apos;권모술수 권민우&apos;로 활약한 주종혁, 알고 보면 어릴 때부터 태권도를 배우고 오랫동안 바텐더로 일한 성실파다. 그의 밝은 이미지를 살린 이번 화보에서 주종혁은 다양한 모습을 가진... ",https://www.tvreport.co.kr/2112763,https://n.news.naver.com/mnews/article/213/0001225971?sid=106,"Thu, 18 Aug 2022 10:22:00 +0900"
5,"주종혁 ""'우영우' 권모술수 권민우, 가족들도 욕해""[화보]","화제의 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;로 지금 가장 뜨거운 관심을 받고 있는 신인 배우 주종혁과 패션... &apos;이상한 변호사 <b>우영우</b>&apos;는 오늘 종영 예정이며 배우 주종혁의 화보와 인터뷰는 &apos;하퍼스 바자&apos; 9월호, 웹사이트와... ",http://www.celuvmedia.com/article.php?aid=1660783868433011005,http://www.celuvmedia.com/article.php?aid=1660783868433011005,"Thu, 18 Aug 2022 10:22:00 +0900"
6,‘이상한 변호사 우영우’ 박은빈·하윤경·주종혁 원팀 활약 ‘최고 17.8%’,"뉴스토마토 = 신상민 기자 |  ‘이상한 변호사 <b>우영우</b>’에서 박은빈을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 지난 17일 방송된 ENA채널 ‘이상한 변호사 <b>우영우</b>’ 15회에서 한바다는 해킹을 막지 못해 고객들의... ",http://www.newstomato.com/ReadNews.aspx?no=1141730&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1141730&inflow=N,"Thu, 18 Aug 2022 10:20:00 +0900"
7,"주종혁 ""'권모술수' 권민우, 가족들도 욕한다…미움 받아도 좋아""",배우 주종혁이 드라마 &apos;이상한 변호사 <b>우영우</b>&apos; 속 권민우 캐릭터에 대한 애정을 드러냈다. 18일 하퍼스 바자는 주종혁과 함께 한 화보를 공개했다. 주종혁은 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;로 &apos;국민 밉상&apos;이라는 별명이... ,http://news.mt.co.kr/mtview.php?no=2022081809433968663,https://n.news.naver.com/mnews/article/008/0004784365?sid=106,"Thu, 18 Aug 2022 10:20:00 +0900"
8,"'우영우와 일하는 법?' 장애인고용공단, 공기관 고용 컨설팅 개최","한국장애인고용공단은 18일 서울 종로구 블루스퀘어에서 공공기관을 대상으로 장애인고용 합동 컨설팅을 진행했다고 밝혔다. 합동 컨설팅은 ‘어둠 속의 대화’ 체험, 공공기관 장애인 채용사례 공유, 문제해결... ",http://www.fnnews.com/news/202208181005082195,https://n.news.naver.com/mnews/article/014/0004884930?sid=102,"Thu, 18 Aug 2022 10:19:00 +0900"
9,"'이상한 변호사 우영우' 강태오, 박은빈 이별 이유에 '맴찢'→'고래커플' 결말...","방송 캡처 [반응이 센 CBC뉴스ㅣCBCNEWS]  &apos;이상한 변호사 <b>우영우</b>&apos; 박은빈을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 지난 17일 방송된 ENA채널 &apos;이상한 변호사 <b>우영우</b>&apos;(연출 유인식, 극본 문지원, 제작 에이스토리... ",http://www.cbci.co.kr/news/articleView.html?idxno=431525,http://www.cbci.co.kr/news/articleView.html?idxno=431525,"Thu, 18 Aug 2022 10:18:00 +0900"
